"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","dv","dframe"
"fixed",NA,"timestamp",-1.01858502224595,0.157900951883518,-6.45078455890088,10571.1079997052,1.16137150461129e-10,-1.3281006397361,-0.709069404755803,"arousal","p_thresh_3000_by_participant"
"fixed",NA,"zoom",-1.23190969019037,1.10787244574341,-1.11195986047268,429.259830627733,0.266777778547065,-3.40943936053211,0.945619980151363,"arousal","p_thresh_3000_by_participant"
"fixed",NA,"screen_width",-4.73800318902787,2.84522516566602,-1.6652471819111,289.848080168894,0.0969439080453684,-10.3379247700529,0.861918391997176,"arousal","p_thresh_3000_by_participant"
"fixed",NA,"screen_height",4.45237458925948,2.64315256915033,1.68449397935842,341.363477869582,0.0930002551712112,-0.746541766482169,9.65129094500113,"arousal","p_thresh_3000_by_participant"
"ran_pars","ID","sd__(Intercept)",17.3002928994042,NA,NA,NA,NA,NA,NA,"arousal","p_thresh_3000_by_participant"
"ran_pars","Residual","sd__Observation",16.22181989736,NA,NA,NA,NA,NA,NA,"arousal","p_thresh_3000_by_participant"
"fixed",NA,"(Intercept)",68.79604359422,1.43139288821532,48.0623064153938,168.147377192233,3.70618187818285e-100,65.9702269199775,71.6218602684625,"valence","p_thresh_3000_by_participant"
"fixed",NA,"timestamp",-0.354902859572633,0.140084268591181,-2.53349546770576,10570.8652536802,0.0113074465247293,-0.629494421500986,-0.0803112976442802,"valence","p_thresh_3000_by_participant"
"fixed",NA,"zoom",-2.61197524854939,1.09349420416958,-2.38865029059114,574.828904503423,0.0172320219876136,-4.7597066212375,-0.464243875861285,"valence","p_thresh_3000_by_participant"
"fixed",NA,"screen_width",-2.93012288692232,2.88284670534658,-1.01639913127814,356.842333256455,0.310127986524457,-8.59962769581692,2.73938192197228,"valence","p_thresh_3000_by_participant"
"fixed",NA,"screen_height",3.00956722993419,2.6498793518753,1.13573745453895,420.693411915164,0.256713059397013,-2.19908576460499,8.21822022447337,"valence","p_thresh_3000_by_participant"
"ran_pars","ID","sd__(Intercept)",18.5058698813429,NA,NA,NA,NA,NA,NA,"valence","p_thresh_3000_by_participant"
"ran_pars","Residual","sd__Observation",14.3904163230706,NA,NA,NA,NA,NA,NA,"valence","p_thresh_3000_by_participant"
"fixed",NA,"(Intercept)",-3.91439697279525,0.182156502650406,-21.4891970137775,NA,1.96479857349836e-102,-4.27141715753982,-3.55737678805068,"stress","p_thresh_3000_by_participant"
"fixed",NA,"timestamp",-0.0471108527362679,0.0467730411999631,-1.00722235560567,NA,0.313827932294745,-0.138784328935604,0.0445626234630679,"stress","p_thresh_3000_by_participant"
"fixed",NA,"zoom",0.230678537444885,0.155867676392024,1.47996392058033,NA,0.138882875460397,-0.0748164946374254,0.536173569527196,"stress","p_thresh_3000_by_participant"
"fixed",NA,"screen_width",0.705571358071628,0.398783774116476,1.76930809091933,NA,0.0768424739487996,-0.0760304768156203,1.48717319295888,"stress","p_thresh_3000_by_participant"
"fixed",NA,"screen_height",-0.907294466085126,0.393978625283078,-2.30290276644634,NA,0.0212843144798836,-1.67947838231856,-0.135110549851693,"stress","p_thresh_3000_by_participant"
"ran_pars","ID","sd__(Intercept)",1.71952459055767,NA,NA,NA,NA,NA,NA,"stress","p_thresh_3000_by_participant"
